,Price,TV_name,diagonal,hdmi_n,usb_n,Ultra_HD,Full_HD,3D_Tv,volume,pixels,energy_cons,weight
375,257630.0,Samsung UE49NU8052,124.0,4.0,3.0,1.0,0.0,,20.0,8294400.0,,17.4
376,34999.0,Orion PIF22-DLED,56.0,1.0,1.0,0.0,1.0,0.0,20.0,2073600.0,,5.0
377,179999.0,Panasonic VIERA TX-49EX633E,123.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,118.0,15.0
378,113849.0,LG 49LV340C,123.0,1.0,1.0,0.0,1.0,0.0,20.0,2073600.0,,11.3
379,249990.0,Samsung UE55NU7442,138.0,3.0,,1.0,0.0,0.0,20.0,8294400.0,,19.7
380,107989.0,Philips 32PFS6402,80.0,4.0,3.0,0.0,1.0,0.0,16.0,2073600.0,50.0,5.8
381,59990.0,AKAI LET32FHD3283,82.0,3.0,1.0,0.0,1.0,,,2073600.0,,
382,44180.0,Sencor SLE 2814TCS,71.0,3.0,1.0,0.0,0.0,0.0,12.0,1049088.0,,3.5
383,125990.0,Panasonic VIERA TX-40FS400E,100.0,2.0,2.0,0.0,1.0,0.0,20.0,2073600.0,64.0,8.5
384,319990.0,Panasonic VIERA TX-49FX780E,124.0,4.0,2.0,1.0,0.0,0.0,20.0,8294400.0,117.0,27.0
385,588900.0,LG OLED55E7N,139.0,4.0,3.0,1.0,0.0,0.0,40.0,8294400.0,155.0,18.5
386,134900.0,Sony Bravia KDL-43WF660,108.0,2.0,2.0,0.0,1.0,0.0,10.0,2073600.0,74.0,8.2
387,203900.0,LG 55UJ670V,139.0,4.0,2.0,1.0,0.0,0.0,20.0,8294400.0,118.0,17.4
388,469900.0,LG 65UH8507,164.0,3.0,3.0,1.0,0.0,1.0,40.0,8294400.0,166.0,32.5
389,32900.0,Star Light 24DM3500,60.0,,,,,,,,,
390,151190.0,LG 49LK6100PLB,123.0,3.0,2.0,0.0,1.0,0.0,20.0,2073600.0,96.0,11.5
391,1019999.0,LG OLED65E8,165.0,4.0,3.0,1.0,0.0,0.0,40.0,8294400.0,208.0,27.3
392,169990.0,Philips 55PUS6503,139.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,126.0,15.1
393,1099990.0,Samsung QE82Q6FN,207.0,4.0,2.0,1.0,0.0,0.0,40.0,8294400.0,275.0,45.7
394,378500.0,LG 65SK7900PLA,165.0,4.0,2.0,1.0,0.0,0.0,20.0,8294400.0,144.0,24.4
395,32990.0,Smart Tech LE-2019DC,50.0,,,0.0,0.0,,,1049088.0,,
396,97989.0,Hyundai ULV 43TS292 SMART,109.0,,,1.0,0.0,,,8294400.0,,9.1
397,50118.0,Toshiba 24W3753DG,61.0,,,0.0,0.0,0.0,,1049088.0,,3.3
398,122490.0,Sony Bravia KDL-32WD757S,80.0,2.0,2.0,0.0,1.0,0.0,20.0,2073600.0,58.0,6.9
399,119890.0,Sencor SLE 55F61TCS,139.0,3.0,1.0,0.0,1.0,0.0,16.0,2073600.0,,14.6
400,1699990.0,LG OLED65W8,165.0,4.0,0.0,1.0,0.0,0.0,40.0,8294400.0,214.0,32.1
401,57290.0,Philips 32PHS4032,80.0,2.0,1.0,0.0,0.0,0.0,16.0,1049088.0,46.0,2.5
402,269815.0,Panasonic VIERA TX-49DX600E,123.0,3.0,2.0,1.0,0.0,0.0,20.0,8294400.0,117.0,18.0
403,109999.0,Thomson 43UC6406,109.0,4.0,,1.0,0.0,0.0,32.0,8294400.0,79.0,7.9
404,159900.0,Samsung UE55K5602,139.0,3.0,2.0,0.0,1.0,0.0,20.0,2073600.0,,17.6
405,162118.0,LG 55LV340C,139.0,1.0,1.0,0.0,0.0,0.0,10.0,1049088.0,,16.6
406,239900.0,Sony Bravia KD-49XE8005,123.0,4.0,3.0,1.0,0.0,0.0,20.0,8294400.0,118.0,12.9
